date,block,plot,old_id,clip_id,rep,t_num,g_ht,y_ht,max_ht,y_pct
6/19/2021,2,F10,,CT2,5,2,15,,15,-100
6/19/2021,2,F10,,CT2,6,3,16.5,,16.5,-100
6/19/2021,2,F10,,CT2,7,2,17.5,,17.5,-100
6/19/2021,2,F10,,CT2,8,2,20,,20,-100
6/19/2021,2,F10,,CT2,9,3,14.9,,14.9,-100
6/19/2021,2,F10,,CT2,10,3,11.5,,11.5,-100
6/19/2021,2,F10,,PU1,1,3,16,,16,-100
6/19/2021,2,F10,,PU1,2,2,17.5,,17.5,-100
6/19/2021,2,F10,,PU1,3,3,12.5,,12.5,-100
6/19/2021,2,F10,,PU1,4,3,16.5,,16.5,-100
6/19/2021,2,F10,,PU1,5,3,13,,13,-100
6/19/2021,2,F10,,PU1,6,2,16,,16,-100
6/19/2021,2,F10,,PU1,7,2,16,,16,-100
6/19/2021,2,F10,,PU1,8,2,11,,11,-100
